Account,Token Account,Quantity,Percentage
5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,E1WAxCSgEmRjj1716niPdk5dRr1hir2oEqD2D5sqrp1S,32883757.38,3.29
3v3zC12JeQyYtUepi3LFwCkZ134uqonCHhGgp3mhQdww,4U2r75ccjb7eVuoePryC1fKsdWNQoWf9W32kqXJfQj9J,24805409.49,2.48
GFhRCBnfYg67ifTXPmfZQqLKNNtceSpXurbh2WpB9J89,3mWKUgiErrfxek8YRnm2QWdecfqNbidUTaSdXRduWEyn,20058401.44,2
34qSTYsfmQcqjq9LvrLGavarD4f8T7wJaNDqzo91KgBb,EfJfa49eW9HFBFEszo9rrSN9bTmGYGy7Z3FifSANe5vc,19458021.86,1.94
3y1jvCpZ4HbHYNvuPcJ4vRHub9TBSYXc3yrBFRjKmgrH,Ad1y1aDGbqMurGG6fR5818PgWG8VKbNpZvbY4AVfHcSf,18694526.45,1.87
2GoUrG9JgdoS9oceThTwWR9gddDKwGq1tBJPZttvQSRh,BzCUMJGo5c26n81wLWNBeCswSBq1GCkxe5bpjVpScxAy,16096015.3,1.61
3cQTRqJCiwBzbkVQc2CJqDoxKuhfzkxQEb8BFqdhYDJk,68zkSqeVtwedNyx9gvUJhN3sPUJ2n89AmHqonxnS2m3f,12000058,1.2
5PAhQiYdLBd6SVdjzBQDxUAEFyDdF5ExNPQfcscnPRj5,VVGexbQqzy32fnkTWnjoipYLDa8dcS7KBXHkiSLhe2U,11790353.7,1.18
5KFD5jZWzMxH8ejbSLWJTRQYUtcHN9WUZUXN5pnmRn7Y,ETcgmy7fDJtEG5g8UYw8BEngU1WQ6tzELssLNr8QQr6N,11663898.35,1.17
js5Lja7zP5RCcTTpdNPB2SwRcUemBYJK8bZio4chzyw,7RBQrhqTmPxaKSNjJ86nkpvwnMVvYW1v6ZNMDiw459S6,11366100.19,1.14
4uNk9hJzXg3hXW8juGTi73FCv9ix8gkvuN1NV3FfuXef,GHEwczSUXUQJj9XKG6VegAwZBnwL8K854VeZ26J9fAZw,11177519.28,1.12
3AWDTDGZiW8joyfA52LKL7GUWLoKBCBUBLUE5JoWgBCu,5FHSgPFJ1BpSz8xWwasHXLCKy1oBxR15bDSyBT1n2Wnu,11095530.22,1.11
FWznbcNXWQuHTawe9RxvQ2LdCENssh12dsznf4RiouN5,9WNAozhfjgxQYjWqwWny3bcBg9nL3nCivHGrvBytfrd3,10609328.07,1.06
C36KZ692jSeFAui9kaRcA6ounG6NfUkWjhMCMQmsBK9H,B7ZgQKAmuaRmz49CiJXeZXyJygUKCYEMCz5n2e33LiyW,10500702.05,1.05
7DJ5rA6xdFxKZhLRhtWjaLns2MmqCdGZ84yyKc7XJtFz,9kJSrcm7TsLTFWDdjPG32zGd6FaQjcKf3A7Hn2EVoWBH,9220000,0.92
CLGachzwPtj3xPrVx2ozvGBnPsRtBaqHMDMV7aXHbX2Z,Crzh6Dc4u2MXAqJa6eyoygwgbdSjxALLiuPQ6yS6SVkM,8961852.36,0.9
2VDK1KP7FWdhtzQ3UGJ4VA3YAhwL4ghU7J1EWFiTEyBh,HkFTnjjCAr3egBMLNJDNHd9kym2NrhrkozgSQL5fFZJa,8737043.65,0.87
DNyvBJEk8nSJuWBgWLYhh833gfknKAjjosg76BqPBbc4,3brJs9ofbwg9E6x3YL6KRd4Q5tzmExCsqA2U4hnt6Uhv,8613804.01,0.86
EiGwtmcMosdqMPVByU7v5gDMggcUiPF7SmxBJPModiUU,3P7a8rtmSTxsA7bCY4WvRYeSF8NpBYX7qwJo9UzJ8QJq,8500000,0.85
Ew19cErtfuPsZ4gCMAFGrMVF8FZMSrBMzSK1Sb7uc1pM,5Cagzih2bMdNdB6KJF2TrA9aM8uXsKhHZfWHujbNE4pM,8050000,0.8
9TD9XQmY2P6BCiKYF6D1H5WggDNVWLWDwrD9SUdxA855,3L2YgPwWzMuQrJCAipb9f1ukVdnwjf21HaY7bQg2d4YD,7750656.84,0.77
7kBUyAwmC8bvfadNHn2NN4c2bR2Fjv8tStqDWyqjZLyy,6RZtmAXCCxMnx7ko36YKiLPw9mDQkcSB2RDMt9WJ5rGH,7196226.84,0.72
BEUNH7uPUsfuQ4S8VxTzbLmGdD3Qq69BX87UXr9vtwRS,G45DuXNmEatxdAtDqiqYUP9rZBAV6CwhK2uHGdAGvZ3q,7037725.76,0.7
A7feW9BA2bqKbjs5nhgLtcf4iqvFh1MRBQbv6ohLgU9a,2qzVec3TNhTksPGWW6vF3LWkZsiWwwpbkRsUiwmh61qw,6633787.5,0.66
GzEkYTdwPvsKMKQnVqZNiRz4c2jVRuHh5d86gW8mHuFK,kWpX7qEb2uDWnTcEJPwKW5tQ9N7KAcYzZJQgZe1BsTU,6189093.81,0.62
