Account,Token Account,Quantity,Percentage
5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,E1WAxCSgEmRjj1716niPdk5dRr1hir2oEqD2D5sqrp1S,45700041.25,4.57
FWznbcNXWQuHTawe9RxvQ2LdCENssh12dsznf4RiouN5,9WNAozhfjgxQYjWqwWny3bcBg9nL3nCivHGrvBytfrd3,31617763.48,3.16
3v3zC12JeQyYtUepi3LFwCkZ134uqonCHhGgp3mhQdww,4U2r75ccjb7eVuoePryC1fKsdWNQoWf9W32kqXJfQj9J,24805409.49,2.48
GFhRCBnfYg67ifTXPmfZQqLKNNtceSpXurbh2WpB9J89,3mWKUgiErrfxek8YRnm2QWdecfqNbidUTaSdXRduWEyn,20058401.44,2.01
34qSTYsfmQcqjq9LvrLGavarD4f8T7wJaNDqzo91KgBb,EfJfa49eW9HFBFEszo9rrSN9bTmGYGy7Z3FifSANe5vc,19458021.86,1.95
3y1jvCpZ4HbHYNvuPcJ4vRHub9TBSYXc3yrBFRjKmgrH,Ad1y1aDGbqMurGG6fR5818PgWG8VKbNpZvbY4AVfHcSf,18593662.58,1.86
2GoUrG9JgdoS9oceThTwWR9gddDKwGq1tBJPZttvQSRh,BzCUMJGo5c26n81wLWNBeCswSBq1GCkxe5bpjVpScxAy,16096015.30,1.61
3cQTRqJCiwBzbkVQc2CJqDoxKuhfzkxQEb8BFqdhYDJk,68zkSqeVtwedNyx9gvUJhN3sPUJ2n89AmHqonxnS2m3f,12000058.00,1.20
ASTyfSima4LLAdDgoFGkgqoKowG1LZFDr9fAQrg7iaJZ,7fWHSeV6sXcXC9eUE31Te7Y9ZFCHTfGUGDD5HZRuUfQ4,11584321.20,1.16
4uNk9hJzXg3hXW8juGTi73FCv9ix8gkvuN1NV3FfuXef,GHEwczSUXUQJj9XKG6VegAwZBnwL8K854VeZ26J9fAZw,11177519.28,1.12
3AWDTDGZiW8joyfA52LKL7GUWLoKBCBUBLUE5JoWgBCu,5FHSgPFJ1BpSz8xWwasHXLCKy1oBxR15bDSyBT1n2Wnu,11095530.22,1.11
js5Lja7zP5RCcTTpdNPB2SwRcUemBYJK8bZio4chzyw,7RBQrhqTmPxaKSNjJ86nkpvwnMVvYW1v6ZNMDiw459S6,10949621.57,1.09
EiGwtmcMosdqMPVByU7v5gDMggcUiPF7SmxBJPModiUU,3P7a8rtmSTxsA7bCY4WvRYeSF8NpBYX7qwJo9UzJ8QJq,10100000.00,1.01
C36KZ692jSeFAui9kaRcA6ounG6NfUkWjhMCMQmsBK9H,B7ZgQKAmuaRmz49CiJXeZXyJygUKCYEMCz5n2e33LiyW,9330011.36,0.93
4K5fh5nDNbWUoSEshHGkSrTXQd4J2VuLiM8qMSiGBMRQ,2tQYj5Dq9wpVRvkWgTU2aGE2NgEJLQ22uHaWVa7tj765,8808031.87,0.88
2VDK1KP7FWdhtzQ3UGJ4VA3YAhwL4ghU7J1EWFiTEyBh,HkFTnjjCAr3egBMLNJDNHd9kym2NrhrkozgSQL5fFZJa,8737043.65,0.87
CLGachzwPtj3xPrVx2ozvGBnPsRtBaqHMDMV7aXHbX2Z,Crzh6Dc4u2MXAqJa6eyoygwgbdSjxALLiuPQ6yS6SVkM,8352141.02,0.84
F7VX4JKFTdczzzACbwcFBGYG2LmPqryz7e9hSyAruYFt,C1QKzLeQsZwfo4iEAqtYb65gPJF5vSMjVFsBbeNbCGmC,8160109.49,0.82
9TD9XQmY2P6BCiKYF6D1H5WggDNVWLWDwrD9SUdxA855,3L2YgPwWzMuQrJCAipb9f1ukVdnwjf21HaY7bQg2d4YD,7750656.84,0.78
BEUNH7uPUsfuQ4S8VxTzbLmGdD3Qq69BX87UXr9vtwRS,G45DuXNmEatxdAtDqiqYUP9rZBAV6CwhK2uHGdAGvZ3q,7037725.76,0.70
A7feW9BA2bqKbjs5nhgLtcf4iqvFh1MRBQbv6ohLgU9a,2qzVec3TNhTksPGWW6vF3LWkZsiWwwpbkRsUiwmh61qw,7010000.40,0.70
5PAhQiYdLBd6SVdjzBQDxUAEFyDdF5ExNPQfcscnPRj5,VVGexbQqzy32fnkTWnjoipYLDa8dcS7KBXHkiSLhe2U,6746607.10,0.67
GzEkYTdwPvsKMKQnVqZNiRz4c2jVRuHh5d86gW8mHuFK,kWpX7qEb2uDWnTcEJPwKW5tQ9N7KAcYzZJQgZe1BsTU,6533449.21,0.65
5tJsxp9UjAZvV8k5ickdA18885nCHCRtpfvnytCMmy5i,2ifv3CUhnhUQXogLDfsUBVKxFqc23qDjNz49cjZ9djWo,6123511.63,0.61
GkcuhETxCbq5PMLEXSB7xjqqRz5n79R2K34xBJKSM3os,8zLeGW7NdDJqx96XokW4kaPrMJHsyv85uwED4nABiV4r,6002449.34,0.60
