Account,Token Account,Quantity,Percentage
5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,E1WAxCSgEmRjj1716niPdk5dRr1hir2oEqD2D5sqrp1S,35837809.28,3.58
FWznbcNXWQuHTawe9RxvQ2LdCENssh12dsznf4RiouN5,9WNAozhfjgxQYjWqwWny3bcBg9nL3nCivHGrvBytfrd3,32527163.24,3.25
3v3zC12JeQyYtUepi3LFwCkZ134uqonCHhGgp3mhQdww,4U2r75ccjb7eVuoePryC1fKsdWNQoWf9W32kqXJfQj9J,24805409.49,2.48
GFhRCBnfYg67ifTXPmfZQqLKNNtceSpXurbh2WpB9J89,3mWKUgiErrfxek8YRnm2QWdecfqNbidUTaSdXRduWEyn,20058403.00,2.00
34qSTYsfmQcqjq9LvrLGavarD4f8T7wJaNDqzo91KgBb,EfJfa49eW9HFBFEszo9rrSN9bTmGYGy7Z3FifSANe5vc,19458021.86,1.94
3y1jvCpZ4HbHYNvuPcJ4vRHub9TBSYXc3yrBFRjKmgrH,Ad1y1aDGbqMurGG6fR5818PgWG8VKbNpZvbY4AVfHcSf,18593662.58,1.86
2GoUrG9JgdoS9oceThTwWR9gddDKwGq1tBJPZttvQSRh,BzCUMJGo5c26n81wLWNBeCswSBq1GCkxe5bpjVpScxAy,16096015.30,1.61
4uNk9hJzXg3hXW8juGTi73FCv9ix8gkvuN1NV3FfuXef,GHEwczSUXUQJj9XKG6VegAwZBnwL8K854VeZ26J9fAZw,11177519.28,1.12
3AWDTDGZiW8joyfA52LKL7GUWLoKBCBUBLUE5JoWgBCu,5FHSgPFJ1BpSz8xWwasHXLCKy1oBxR15bDSyBT1n2Wnu,11095530.22,1.11
F7VX4JKFTdczzzACbwcFBGYG2LmPqryz7e9hSyAruYFt,C1QKzLeQsZwfo4iEAqtYb65gPJF5vSMjVFsBbeNbCGmC,11008593.19,1.10
EiGwtmcMosdqMPVByU7v5gDMggcUiPF7SmxBJPModiUU,3P7a8rtmSTxsA7bCY4WvRYeSF8NpBYX7qwJo9UzJ8QJq,11000000.00,1.10
