Account,Token Account,Quantity,Percentage
36SXDn8o66AeVuvq95usDReosArJGmJuStQhxjA9y73U,2LCobZ2WnwBqKaR13XeqfSVEu87HXUy2Ti1yb8HAnARJ,4924813.346054,0.49
HwRnKq7RPtKHvX9wyHsc1zvfHtGjPQa5tyZtGtbvfXE,3PCuniudMG86to8aTASchPhzTC6k2Hyee5pRcz47H6pV,4645566.42779,0.46
HGWd5othcVkvFN6RXWzenxhWDT2LLCTckb87bzvuVeUA,2iUxkcbJfGTYudMNNiDYekFbB7LXqp2byv1PkdtrM3go,4342398.270443,0.43
Cu2EzaRzrUp6BFUWuvRED27L5P7W2uLFdUi2zpxpoWFj,FaUEwy5RrLqyBbckeBtEA84bCYmUn7rCN5BGF5CdWA64,4214517.890264,0.42
AyVsCiLdvbjDQtSwJWPCehUgjVzigPDGvUmog52bPHwZ,HxmMN7qsEh3oQCd6trsxgtqQH61RV1cQw1FS4tubjch7,4078320.967611,0.41
F7RkX6Y1qTfBqoX5oHoZEgrG1Dpy55UZ3GfWwPbM58nQ,E1TLBC2T4ty8dWtSZ921bc2qfQ3Bmzr6X1Tp6g8VuPoa,4063717.9519,0.41
BuzujBDQN4GVinvxwq1J4RPupe1vVj6wrGSoVPwzbSMH,Ai6JJrvaeTRpiJKrYGvh5xnVuPeDRrvnP7HLuUQhdb6p,3900000,0.39
Gy5GSoHmrfnv49TZHku1bxNv2Dy4tFDjgm7vGbmp8S2h,HMnnYb7CoaWzfayduSzBNdiLYr5mR9w7P5NT3iG8MbRU,3695525.120664,0.37
9owMZJcXiaNGZ6PGguYvTT3yDHJ4y77zvJxrjLSaSJyu,AEJCV9nJYLTC5r2FQ3UWnxN9EYQvnqHCVHJ89H1FP3oT,3639893.174856,0.36
FCA4U44hiKgUBTLTP1zcr5U1PwtLKscoxQnPD251vdgf,FKj3wt2iDYY5WQM4niz5CCmu9s6nf4CVMbBWSDX8TmnS,3519974.024197,0.35
Hf1vrfH2EtnvXfFoWkbhUyZGFvpsw6fzZ6mWRJ5X8zAB,AK4UL6DURUvfB8eQzRFdc7p7DCxyVD3bJcf2qP2HEWc4,3432676.082043,0.34
385TRzNUZ8Vxyvf36o8Cnet1W9ngQMK7whU61vcQsrGC,HURp9gNLXCmwAku3CcEsaheMqaXqqPtcTQM3TUyZzcCX,3000950,0.30
BhCgpLyk76x7TQiKAsjdSAtcyJZPZwpbP5oWj9R9fbvu,FxUzXVsCnP8waoxqBexRYDaXdKvpsH1am4sMZrW4XYTv,3000152.73266,0.30
3S623rgUeLfQYQkFSyo5b2QbLFXoA8LSKCCG7PB4hbUz,GL8PVYikDbGSyfuebMY8PeyiKKdKVfc3jqFCQ3xyczCy,3000000,0.30
HAupXRFoAw9xD8XgJsnnTATBAxKvurZbjboEmRaiW1D2,D6cBKVNkTbG4jdnQ6wzwBPG9RwR1QXumZydgHDH8V5z3,2872091.633064,0.29
8zA54BUeURBhBro4ySEJQJwRQoGAfvbiteoAiMuiN6rh,Fhpj8437sCKcM7S6zb6Yk4wfcwdLp9XoAZ2vHd7XtJfq,2766476.83756,0.28
53gDPFjMUJonVZuJJQH4wxqYY2Zrokc7TNiripxPmde7,2S87u9bsNxdtz2AVyMnTKJf4ZFEAj6EGszpeY6nAbP9v,2760980.798181,0.28
Bvt3VSDivdycppP1cgP9c9UZ2P5fg3eC3CTty661TCQK,AvJaJxtcQ3BdBdLAiV2c42jLd1Lkp9TLZ6TJwEgu59hE,2576485.340375,0.26
BHWXwF7hX2YcPvL3ubmWaXWY9CqMp3j25JKYKhMA67j,DMZHNuGR2hx7jXNLWxuKrgN6ETYV3dnzSdQbyAuhVfMK,2549502.050224,0.25
ApKoa7UKusKaFKeLZeo7sZWJhLprFfi4kG7panSWY2gV,2yCk6wMvUxMWGojbpkYbwziVTEBb1VfLQdRyZKZrx5uD,2537139.794241,0.25
Cs98z1pd6NCJuV1FjKHDKREA2r59YJK28Emh283s81Ds,FSgdcQxp1Bsq6BBcnERFo7kWd9ffmT6mmw2ETwt4GFzf,2518832.313652,0.25
ERaLpvqYeXfVbhhJeEtM32qexg8XKQx3zPWwUdedbSJj,AgF1dEeqiu6L3ChbgWFRGRBUqHdLhiaXpkdivEX4qjh4,2500000.008066,0.25
FyNo76YA5PoJLTXAraMhTsjfiQMAVTq1CGGvDrfQV2hr,HRqE5w1k1sfnoFQeGj3A9akzTUPGpPthh5Fbf18YPjUL,2422159.556893,0.24
7z8nMvu6zv3zJkeFN14B9pGcrUFUm8zjpKXEkUpt67LF,AHBEms2AMwe7oZQ4tQUHwgWCVUL7cB3ctLTFEk9UkZen,2404367.444895,0.24
9NB3s3hSWkLM56awiohBtycvXaEBCscmzeUf8Ep1sXAv,9vonQX4twBD6v3UymrHZjYBishRACFZmeho4pnzK51tj,2400000,0.24
Fspb74eDAvw8girKbuszRidxuXyGjLxPWFPewrGNXkw6,AwPzk5tCSaLFCd1gLNSjjrM8pS5VkCPHTfq3Rfq5NrHz,2380276.186479,0.24
