Account,Token Account,Quantity,Percentage
5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,E1WAxCSgEmRjj1716niPdk5dRr1hir2oEqD2D5sqrp1S,47339101.08,4.73
FWznbcNXWQuHTawe9RxvQ2LdCENssh12dsznf4RiouN5,9WNAozhfjgxQYjWqwWny3bcBg9nL3nCivHGrvBytfrd3,38018666.06,3.80
3v3zC12JeQyYtUepi3LFwCkZ134uqonCHhGgp3mhQdww,4U2r75ccjb7eVuoePryC1fKsdWNQoWf9W32kqXJfQj9J,24805409.49,2.48
GFhRCBnfYg67ifTXPmfZQqLKNNtceSpXurbh2WpB9J89,3mWKUgiErrfxek8YRnm2QWdecfqNbidUTaSdXRduWEyn,20058403.00,2.01
34qSTYsfmQcqjq9LvrLGavarD4f8T7wJaNDqzo91KgBb,EfJfa49eW9HFBFEszo9rrSN9bTmGYGy7Z3FifSANe5vc,19458021.86,1.95
3y1jvCpZ4HbHYNvuPcJ4vRHub9TBSYXc3yrBFRjKmgrH,Ad1y1aDGbqMurGG6fR5818PgWG8VKbNpZvbY4AVfHcSf,18595054.96,1.86
2GoUrG9JgdoS9oceThTwWR9gddDKwGq1tBJPZttvQSRh,BzCUMJGo5c26n81wLWNBeCswSBq1GCkxe5bpjVpScxAy,16096015.30,1.61
5PAhQiYdLBd6SVdjzBQDxUAEFyDdF5ExNPQfcscnPRj5,VVGexbQqzy32fnkTWnjoipYLDa8dcS7KBXHkiSLhe2U,14996085.58,1.50
js5Lja7zP5RCcTTpdNPB2SwRcUemBYJK8bZio4chzyw,7RBQrhqTmPxaKSNjJ86nkpvwnMVvYW1v6ZNMDiw459S6,13604107.18,1.36
F7VX4JKFTdczzzACbwcFBGYG2LmPqryz7e9hSyAruYFt,C1QKzLeQsZwfo4iEAqtYb65gPJF5vSMjVFsBbeNbCGmC,12018601.03,1.20
4K5fh5nDNbWUoSEshHGkSrTXQd4J2VuLiM8qMSiGBMRQ,2tQYj5Dq9wpVRvkWgTU2aGE2NgEJLQ22uHaWVa7tj765,11842835.51,1.18
4uNk9hJzXg3hXW8juGTi73FCv9ix8gkvuN1NV3FfuXef,GHEwczSUXUQJj9XKG6VegAwZBnwL8K854VeZ26J9fAZw,11177519.28,1.12
3AWDTDGZiW8joyfA52LKL7GUWLoKBCBUBLUE5JoWgBCu,5FHSgPFJ1BpSz8xWwasHXLCKy1oBxR15bDSyBT1n2Wnu,11095530.22,1.11
EiGwtmcMosdqMPVByU7v5gDMggcUiPF7SmxBJPModiUU,3P7a8rtmSTxsA7bCY4WvRYeSF8NpBYX7qwJo9UzJ8QJq,11000000.00,1.10
C36KZ692jSeFAui9kaRcA6ounG6NfUkWjhMCMQmsBK9H,B7ZgQKAmuaRmz49CiJXeZXyJygUKCYEMCz5n2e33LiyW,9145749.22,0.91
2VDK1KP7FWdhtzQ3UGJ4VA3YAhwL4ghU7J1EWFiTEyBh,HkFTnjjCAr3egBMLNJDNHd9kym2NrhrkozgSQL5fFZJa,8737043.65,0.87
CLGachzwPtj3xPrVx2ozvGBnPsRtBaqHMDMV7aXHbX2Z,Crzh6Dc4u2MXAqJa6eyoygwgbdSjxALLiuPQ6yS6SVkM,8352141.02,0.84
6V3YLLvE2rzk9oMsjFQ6Wjg56wEKjdF2gXVUHX85j2KR,2X6VjvUcdNzyzapPM5YgX6BdRdKV3wsQDxki6Ge6j5Uf,7864337.98,0.79
BEUNH7uPUsfuQ4S8VxTzbLmGdD3Qq69BX87UXr9vtwRS,G45DuXNmEatxdAtDqiqYUP9rZBAV6CwhK2uHGdAGvZ3q,7837770.95,0.78
9TD9XQmY2P6BCiKYF6D1H5WggDNVWLWDwrD9SUdxA855,3L2YgPwWzMuQrJCAipb9f1ukVdnwjf21HaY7bQg2d4YD,7750656.84,0.78
3cQTRqJCiwBzbkVQc2CJqDoxKuhfzkxQEb8BFqdhYDJk,68zkSqeVtwedNyx9gvUJhN3sPUJ2n89AmHqonxnS2m3f,7650058.00,0.77
A7feW9BA2bqKbjs5nhgLtcf4iqvFh1MRBQbv6ohLgU9a,2qzVec3TNhTksPGWW6vF3LWkZsiWwwpbkRsUiwmh61qw,7010000.40,0.70
5dDDSix4JDnGGRYxntQKpbnWzMyedu9euxy4Jc8D44yF,AKnZUAukAzSytox78fWhkcVvQEpoaM5tUoqYbxLYPTfT,6631220.39,0.66
GzEkYTdwPvsKMKQnVqZNiRz4c2jVRuHh5d86gW8mHuFK,kWpX7qEb2uDWnTcEJPwKW5tQ9N7KAcYzZJQgZe1BsTU,6535118.05,0.65
3Y7VYYWj4CrcUXeoCGpAJBpP4b7Be1WEauDuEcqtkqFQ,25tsqBeNwfqUPNesGNzb2WXbx4n8PjsdKsLHtApaDbzY,6133514.64,0.61
5tJsxp9UjAZvV8k5ickdA18885nCHCRtpfvnytCMmy5i,2ifv3CUhnhUQXogLDfsUBVKxFqc23qDjNz49cjZ9djWo,6123511.63,0.61
D23x1vkKSbmRzrNGKbNtvkck5wf3ZcdPx5dcG9U18WNH,9V6tqwBvxzkTcqJ6QczGDPusfm7R67toLazRbUvkSkFN,6000000.00,0.60
A77HErqtfN1hLLpvZ9pCtu66FEtM8BveoaKbbMoZ4RiR,DcXpaRKYRLVP3iufJAv3gugE6iX7XyUZjAEzqprD2bAP,5666402.18,0.57
G2j9xPk5wfuotEKPjidzGYn3GQDqSAcu3mWkRouzECVu,76Vcf6hoeEFzeHfsfM4C3NYzgsbfewauMJAvLJJ25e89,5531158.24,0.55
GkcuhETxCbq5PMLEXSB7xjqqRz5n79R2K34xBJKSM3os,8zLeGW7NdDJqx96XokW4kaPrMJHsyv85uwED4nABiV4r,5500000.00,0.55
jEisWvyQ4SffrAXFzFsNj6zYRNMRc44yh9puLdK36hL,2HLZ8NLtQS9nWv2xsAWLMB4j7epyre8nVHSKSTLXrPW2,5487507.43,0.55
EDT7QC6pWyV8wGFLZqVdTKYKmhz4WY2jCXYrvSmq2erh,C3PmFVhJDja8CEsYsGQq3m87VLwGsuvYVe2gLtjVtPV9,4983128.77,0.50
36SXDn8o66AeVuvq95usDReosArJGmJuStQhxjA9y73U,2LCobZ2WnwBqKaR13XeqfSVEu87HXUy2Ti1yb8HAnARJ,4924813.35,0.49
CLhLf4GoGr1YetJxEradZPpRuwenLnszUfuM4ySrvLSt,3ajfTAxvWZ6P4xnT6GBzg3DgGkPANkjg2gobiPx3Dhi7,4712684.16,0.47
HwRnKq7RPtKHvX9wyHsc1zvfHtGjPQa5tyZtGtbvfXE,3PCuniudMG86to8aTASchPhzTC6k2Hyee5pRcz47H6pV,4645566.43,0.46
4ndvQVkpmJiEE19d1Vcu6JTGuxz1CMRU1LXmU4svX5qS,ANvrvqJ8Yn3Wnhfup3L4hmr7MHunsZ4i9A7idXsJGMhh,4542611.56,0.45
HGWd5othcVkvFN6RXWzenxhWDT2LLCTckb87bzvuVeUA,2iUxkcbJfGTYudMNNiDYekFbB7LXqp2byv1PkdtrM3go,4342398.27,0.43
Cu2EzaRzrUp6BFUWuvRED27L5P7W2uLFdUi2zpxpoWFj,FaUEwy5RrLqyBbckeBtEA84bCYmUn7rCN5BGF5CdWA64,4214517.89,0.42
BuzujBDQN4GVinvxwq1J4RPupe1vVj6wrGSoVPwzbSMH,Ai6JJrvaeTRpiJKrYGvh5xnVuPeDRrvnP7HLuUQhdb6p,3900000.00,0.39
DrwPKpx3SityVbwd27R9SaFkTtKKA567xuNSnX4Hgdde,5DABnTzU3kfNyvu316XF7794F7gUFmb8a38pQh6GU3rx,3739818.91,0.37
AyVsCiLdvbjDQtSwJWPCehUgjVzigPDGvUmog52bPHwZ,HxmMN7qsEh3oQCd6trsxgtqQH61RV1cQw1FS4tubjch7,3724363.98,0.37
Gy5GSoHmrfnv49TZHku1bxNv2Dy4tFDjgm7vGbmp8S2h,HMnnYb7CoaWzfayduSzBNdiLYr5mR9w7P5NT3iG8MbRU,3695525.12,0.37
9owMZJcXiaNGZ6PGguYvTT3yDHJ4y77zvJxrjLSaSJyu,AEJCV9nJYLTC5r2FQ3UWnxN9EYQvnqHCVHJ89H1FP3oT,3639893.17,0.36
