Account,Token Account,Quantity,Percentage
5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,E1WAxCSgEmRjj1716niPdk5dRr1hir2oEqD2D5sqrp1S,46513219.156406,4.65
FWznbcNXWQuHTawe9RxvQ2LdCENssh12dsznf4RiouN5,9WNAozhfjgxQYjWqwWny3bcBg9nL3nCivHGrvBytfrd3,42642624.445018,4.26
EgChkykgkPe9NWNHeG11qcg8vWvpMKwwBuzxoPYMe5KS,HRhwS9SHhJoB5Mcp1bt4VkvuigezSNrA6BrMdAdskVhz,20057291.80432,2.01
34qSTYsfmQcqjq9LvrLGavarD4f8T7wJaNDqzo91KgBb,EfJfa49eW9HFBFEszo9rrSN9bTmGYGy7Z3FifSANe5vc,19458021.858053,1.95
3v3zC12JeQyYtUepi3LFwCkZ134uqonCHhGgp3mhQdww,4U2r75ccjb7eVuoePryC1fKsdWNQoWf9W32kqXJfQj9J,18437390.616413,1.84
2GoUrG9JgdoS9oceThTwWR9gddDKwGq1tBJPZttvQSRh,BzCUMJGo5c26n81wLWNBeCswSBq1GCkxe5bpjVpScxAy,16096015.30498,1.61
4K5fh5nDNbWUoSEshHGkSrTXQd4J2VuLiM8qMSiGBMRQ,2tQYj5Dq9wpVRvkWgTU2aGE2NgEJLQ22uHaWVa7tj765,14044721.7912,1.40
ASTyfSima4LLAdDgoFGkgqoKowG1LZFDr9fAQrg7iaJZ,7fWHSeV6sXcXC9eUE31Te7Y9ZFCHTfGUGDD5HZRuUfQ4,13940684.84095,1.39
js5Lja7zP5RCcTTpdNPB2SwRcUemBYJK8bZio4chzyw,7RBQrhqTmPxaKSNjJ86nkpvwnMVvYW1v6ZNMDiw459S6,13604107.1847,1.36
EiGwtmcMosdqMPVByU7v5gDMggcUiPF7SmxBJPModiUU,3P7a8rtmSTxsA7bCY4WvRYeSF8NpBYX7qwJo9UzJ8QJq,11391111.000001,1.14
4uNk9hJzXg3hXW8juGTi73FCv9ix8gkvuN1NV3FfuXef,GHEwczSUXUQJj9XKG6VegAwZBnwL8K854VeZ26J9fAZw,11177519.279005,1.12
3AWDTDGZiW8joyfA52LKL7GUWLoKBCBUBLUE5JoWgBCu,5FHSgPFJ1BpSz8xWwasHXLCKy1oBxR15bDSyBT1n2Wnu,11095530.223147,1.11
4cBUVfqcYo8MXmupHiLtgmyMZPbhXU77FeFcS1DDsh4d,AMRHU9AjgJdFDrovgLYc7FWt6YXvxF4Vzc1rXrPohxqB,8900000,0.89
2VDK1KP7FWdhtzQ3UGJ4VA3YAhwL4ghU7J1EWFiTEyBh,HkFTnjjCAr3egBMLNJDNHd9kym2NrhrkozgSQL5fFZJa,8737043.654039,0.87
BEUNH7uPUsfuQ4S8VxTzbLmGdD3Qq69BX87UXr9vtwRS,G45DuXNmEatxdAtDqiqYUP9rZBAV6CwhK2uHGdAGvZ3q,8102126.956491,0.81
ELohjjS7y5Kmy3ow1sgxm9fdsUGfX4JXQsnAa49EYpCD,4ejWrrFnrM9nAxYewshkuwZ5AktjrFbtnpMSsPzgkmE8,7849161.470964,0.78
9TD9XQmY2P6BCiKYF6D1H5WggDNVWLWDwrD9SUdxA855,3L2YgPwWzMuQrJCAipb9f1ukVdnwjf21HaY7bQg2d4YD,7750656.836362,0.78
jEisWvyQ4SffrAXFzFsNj6zYRNMRc44yh9puLdK36hL,2HLZ8NLtQS9nWv2xsAWLMB4j7epyre8nVHSKSTLXrPW2,7738238.964802,0.77
Hf7xp3bg5HDeXkVc6USUhETt6vWqMwdB5NqPabt7NrRu,6tiqgyru8nd7MfmZB5AGuVEBGim2Vx923BPEMtu8eqZf,7522201.905724,0.75
A7feW9BA2bqKbjs5nhgLtcf4iqvFh1MRBQbv6ohLgU9a,2qzVec3TNhTksPGWW6vF3LWkZsiWwwpbkRsUiwmh61qw,7010000.397433,0.70
D23x1vkKSbmRzrNGKbNtvkck5wf3ZcdPx5dcG9U18WNH,9V6tqwBvxzkTcqJ6QczGDPusfm7R67toLazRbUvkSkFN,7000000,0.70
5dDDSix4JDnGGRYxntQKpbnWzMyedu9euxy4Jc8D44yF,AKnZUAukAzSytox78fWhkcVvQEpoaM5tUoqYbxLYPTfT,6631220.389039,0.66
GzEkYTdwPvsKMKQnVqZNiRz4c2jVRuHh5d86gW8mHuFK,kWpX7qEb2uDWnTcEJPwKW5tQ9N7KAcYzZJQgZe1BsTU,6535118.054255,0.65
3dub9yUNqo9UBrP3oixBxVu6jHn2NY3YT8EbQaYPytSQ,HccPHtnqP77ZYDNPXXGGCnovhyq4B4p7rsYGLLY1rLNn,6458189.05,0.65
CLhLf4GoGr1YetJxEradZPpRuwenLnszUfuM4ySrvLSt,3ajfTAxvWZ6P4xnT6GBzg3DgGkPANkjg2gobiPx3Dhi7,6443959.588517,0.64
xgAgScrb59YJduCCCPm6RHMQBCHusyJa9ms54LUCtLq,GZ2sH671q79R2GAB1Pd5juevStjyPuJEwp4KHNtK3ZfB,6257692.804542,0.63
5tJsxp9UjAZvV8k5ickdA18885nCHCRtpfvnytCMmy5i,2ifv3CUhnhUQXogLDfsUBVKxFqc23qDjNz49cjZ9djWo,6123511.626757,0.61
5PAhQiYdLBd6SVdjzBQDxUAEFyDdF5ExNPQfcscnPRj5,VVGexbQqzy32fnkTWnjoipYLDa8dcS7KBXHkiSLhe2U,5785215.742806,0.58
F7VX4JKFTdczzzACbwcFBGYG2LmPqryz7e9hSyAruYFt,C1QKzLeQsZwfo4iEAqtYb65gPJF5vSMjVFsBbeNbCGmC,5584692.672471,0.56
G2j9xPk5wfuotEKPjidzGYn3GQDqSAcu3mWkRouzECVu,76Vcf6hoeEFzeHfsfM4C3NYzgsbfewauMJAvLJJ25e89,5515036.945236,0.55
GkcuhETxCbq5PMLEXSB7xjqqRz5n79R2K34xBJKSM3os,8zLeGW7NdDJqx96XokW4kaPrMJHsyv85uwED4nABiV4r,5487500,0.55
3cQTRqJCiwBzbkVQc2CJqDoxKuhfzkxQEb8BFqdhYDJk,68zkSqeVtwedNyx9gvUJhN3sPUJ2n89AmHqonxnS2m3f,5250058,0.53
36SXDn8o66AeVuvq95usDReosArJGmJuStQhxjA9y73U,2LCobZ2WnwBqKaR13XeqfSVEu87HXUy2Ti1yb8HAnARJ,4924813.346054,0.49
HwRnKq7RPtKHvX9wyHsc1zvfHtGjPQa5tyZtGtbvfXE,3PCuniudMG86to8aTASchPhzTC6k2Hyee5pRcz47H6pV,4645566.42779,0.46
EDT7QC6pWyV8wGFLZqVdTKYKmhz4WY2jCXYrvSmq2erh,C3PmFVhJDja8CEsYsGQq3m87VLwGsuvYVe2gLtjVtPV9,4645102.769361,0.46
HGWd5othcVkvFN6RXWzenxhWDT2LLCTckb87bzvuVeUA,2iUxkcbJfGTYudMNNiDYekFbB7LXqp2byv1PkdtrM3go,4342398.270443,0.43
Cu2EzaRzrUp6BFUWuvRED27L5P7W2uLFdUi2zpxpoWFj,FaUEwy5RrLqyBbckeBtEA84bCYmUn7rCN5BGF5CdWA64,4214517.890264,0.42
AyVsCiLdvbjDQtSwJWPCehUgjVzigPDGvUmog52bPHwZ,HxmMN7qsEh3oQCd6trsxgtqQH61RV1cQw1FS4tubjch7,4078320.967611,0.41
BuzujBDQN4GVinvxwq1J4RPupe1vVj6wrGSoVPwzbSMH,Ai6JJrvaeTRpiJKrYGvh5xnVuPeDRrvnP7HLuUQhdb6p,3900000,0.39
